acquisition.label,"f.info[""ProtocolName""]",Intent,Measurement,Features
Localizer,Localizer,['Localizer'],['T2'],n/a
AAHead_Scout,AAHead_Scout,['Localizer'],['T2'],n/a
AAHead_Scout_MPR_sag,AAHead_Scout,['Localizer'],['T2'],n/a
AAHead_Scout_MPR_cor,AAHead_Scout,['Localizer'],['T2'],n/a
AAHead_Scout_MPR_tra,AAHead_Scout,['Localizer'],['T2'],n/a
PhoenixZIPReport,Phoenix Document,['Non-Image'],n/a,n/a
Localizer_aligned,Localizer_aligned,['Localizer'],['T2'],n/a
Localizer_1,Localizer,['Localizer'],['T2'],n/a
AAHead_Scout_1,AAHead_Scout,['Localizer'],['T2'],n/a
AAHead_Scout_MPR_sag_1,AAHead_Scout,['Localizer'],['T2'],n/a
AAHead_Scout_MPR_cor_1,AAHead_Scout,['Localizer'],['T2'],n/a
AAHead_Scout_MPR_tra_1,AAHead_Scout,['Localizer'],['T2'],n/a
Localizer_aligned_1,Localizer_aligned,['Localizer'],['T2'],n/a
T1_3D_0.8x0.8x0.8,T1_3D_0.8x0.8x0.8,['Structural'],['T1'],['3D']
T1_3D_0.8x0.8x0.8_ND,T1_3D_0.8x0.8x0.8,['Structural'],['T1'],['3D']
FLAIR_3D_1x1x1_ND,FLAIR_3D_1x1x1,['Structural'],n/a,"['FLAIR', '3D']"
FLAIR_3D_1x1x1,FLAIR_3D_1x1x1,['Structural'],n/a,"['FLAIR', '3D']"
T2_2D_0.4x0.4x1.2mm_180flip_ND,T2_2D_0.4x0.4x1.2mm_180flip,['Structural'],['T2'],['2D']
T2_2D_0.4x0.4x1.2mm_180flip,T2_2D_0.4x0.4x1.2mm_180flip,['Structural'],['T2'],['2D']
TOF_3D_multi-slab,TOF_3D_multi-slab,n/a,['Perfusion'],"['TOF', '3D']"
TOF_3D_multi-slab_MIP_TRA,TOF_3D_multi-slab,n/a,['Perfusion'],"['MIP', 'TOF', '3D']"
TOF_3D_multi-slab_MIP_COR,TOF_3D_multi-slab,n/a,['Perfusion'],"['MIP', 'TOF', '3D']"
TOF_3D_multi-slab_MIP_SAG,TOF_3D_multi-slab,n/a,['Perfusion'],"['MIP', 'TOF', '3D']"
ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_M0,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20,n/a,['Perfusion'],"['M0', 'Spiral', '3D']"
ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_MeanPerf,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20,n/a,['Perfusion'],"['Spiral', '3D']"
ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_ASL,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20,n/a,['Perfusion'],"['Spiral', '3D']"
SpinEchoFieldMap_AP,SpinEchoFieldMap_AP,['Fieldmap'],['B0'],n/a
SpinEchoFieldMap_PA,SpinEchoFieldMap_PA,['Fieldmap'],['B0'],n/a
rfMRI_REST_AP,rfMRI_REST_AP,['Functional'],['T2*'],n/a
rfMRI_REST_PA,rfMRI_REST_PA,['Functional'],['T2*'],n/a
B0map,B0map,['Fieldmap'],n/a,n/a
B0map_1,B0map,['Fieldmap'],n/a,n/a
MultiShell_117dir,MultiShell_117dir,['Structural'],['Diffusion'],n/a
