INDD with x,INDD with .
105476x01,105476.01
117375,117375
119482,119482
123572,123572
119493,119493
114000,114000
122152,122152
124650,124650
122395,122395
119621,119621
123894,123894
123725,123725
124613,124613
122475,122475
123434,123434
123763,123763
112574,112574
123950,123950
124696,124696
120896,120896
115562,115562
123851,123851
124745,124745
124735,124735
111275x01,111275.01
109459,109459
118923,118923
121899,121899
102650x01,102650.01
124789,124789
124004,124004
106735,106735
104115,104115
123072,123072
124383,124383
123023,123023
124787,124787
124961,124961
119035,119035
124851,124851
118601,118601
119363,119363
123733,123733
117376,117376
113066x02,113066.02
123485,123485
123367,123367
123194,123194
124953,124953
122987,122987
124212,124212
124890,124890
125023,125023
124592,124592
124738,124738
100049,100049
100113,100113
100639,100639
101162,101162
101195,101195
101366,101366
101628x01,101628.01
101712,101712
102115,102115
102439x01,102439.01
102439,102439
104497,104497
104504,104504
106122x01,106122.01
106122,106122
106509,106509
107196,107196
107799,107799
107886x01,107886.01
107970x01,107970.01
107973,107973
109789,109789
111487,111487
111965,111965
112286x01,112286.01
112761,112761
113870,113870
114035,114035
114787,114787
115587,115587
116497,116497
116630,116630
116707,116707
116815,116815
117297,117297
117299,117299
117550,117550
118060,118060
118188,118188
118317,118317
118404,118404
118440,118440
118700,118700
118711,118711
118724,118724
118775,118775
118964,118964
118982,118982
118998,118998
119109,119109
119152,119152
119167,119167
119254,119254
119298,119298
119390,119390
119788,119788
119813,119813
119989,119989
120033,120033
120132,120132
120150,120150
119851,119851
120184,120184
120516,120516
120686,120686
120937,120937
121095,121095
121272,121272
100437,100437
100836,100836
100905x01,100905.01
101066,101066
101737,101737
102904,102904
103907,103907
104489x01,104489.01
105732x01,105732.01
105733x01,105733.01
106036,106036
106247,106247
106615x01,106615.01
106615,106615
106642,106642
106721x01,106721.01
106722x01,106722.01
109136,109136
111768x01,111768.01
111768x02,111768.02
114699,114699
115050,115050
115582x02,115582.02
115919,115919
116638,116638
117158,117158
117326,117326
117358,117358
117796,117796
117879,117879
117939,117939
118259,118259
118349,118349
118390,118390
118418,118418
118475,118475
118579,118579
118743,118743
118770,118770
119218,119218
119374,119374
119427,119427
119465,119465
119473,119473
119582,119582
119655,119655
119888,119888
120123,120123
120200,120200
120257,120257
120735,120735
120870,120870
121105,121105
121195,121195
121258,121258
121299,121299
121329,121329
121520,121520
121524,121524
121570,121570
121635,121635
121668,121668
121674,121674
122005,122005
122025,122025
122026,122026
122027,122027
122039,122039
122247,122247
122328,122328
122407,122407
122566,122566
122619,122619
122710,122710
122803,122803
101453,101453
103941,103941
104793x01,104793.01
106992,106992
107476,107476
108543,108543
110836,110836
114120,114120
115381,115381
117315,117315
117376x01,117376.01
117870,117870
118230,118230
118311,118311
118458,118458
118594,118594
118736,118736
118835,118835
119448,119448
119522,119522
119608,119608
119670,119670
119913,119913
120131,120131
120515,120515
120580,120580
120755,120755
120965,120965
121181,121181
121469,121469
121526,121526
121655,121655
121666,121666
121672,121672
121805,121805
121847,121847
122003,122003
122056,122056
122100,122100
122146,122146
122216,122216
122326,122326
122334,122334
122409,122409
122437,122437
122628,122628
122654,122654
122702,122702
122705,122705
122714,122714
122735,122735
122812,122812
122828,122828
122840,122840
122888,122888
122889,122889
122924,122924
122954,122954
122975,122975
123013,123013
123019,123019
123043,123043
123200,123200
123213,123213
123221,123221
123341,123341
123364,123364
123369,123369
123397,123397
123473,123473
123680,123680
124131,124131
124171,124171
124172,124172
124174,124174
124179,124179
124203,124203
124211,124211
124224,124224
TECHDEV,TECHDEV
118380,118380
118439,118439
120374,120374
120929,120929
122348,122348
122484,122484
122706,122706
122900,122900
123171,123171
123304,123304
123765,123765
123928,123928
123935,123935
123953,123953
124035,124035
124287,124287
124301,124301
124326,124326
124327,124327
124387,124387
124428,124428
124005,124005
125070,125070
124385,124385
123903,123903
118068,118068
122344,122344
109677x01,109677.01
100790,100790
124972,124972
125259,125259
125255,125255
121444,121444
124800,124800
125081,125081
125310,125310
125111,125111
124868,124868
124891,124891
125399,125399
124288,124288
123768,123768
124516,124516
125107,125107
125504,125504
108672,108672
125527,125527
126955,126955
125590,125590
125573,125573
122439,122439
124653,124653
123343,123343
123727,123727
124561,124561
123718,123718
125300,125300
125332,125332
124018,124018
124824,124824
125415,125415
123782,123782
124728,124728
123754,123754
119202,119202
122963,122963
117889,117889
125041,125041
124022,124022
124877,124877
125572,125572
123865,123865
bids_phan,bids_phan
122701,122701
125901,125901
125067,125067
124563,124563
124534,124534
124305,124305
126067,126067
125699,125699
124597,124597
102167,102167
126144,126144
124048,124048
124733,124733
123155,123155
124666,124666
125142,125142
122139,122139
125687,125687
121167,121167
125800,125800
124509,124509
126266,126266
126324,126324
125675,125675
107486,107486
117639,117639
123575,123575
125564,125564
125840,125840
124775,124775
123831,123831
126501,126501
124242,124242
125944,125944
122946,122946
125965,125965
126022,126022
126624,126624
124822,124822
126004,126004
122865,122865
125780,125780
125487,125487
124568,124568
126061,126061
126536,126536
126720,126720
126078,126078
125605,125605
126275,126275
126884,126884
119330,119330
126877,126877
126227,126227
125380,125380
122659,122659
125213,125213
122220,122220
124938,124938
124482,124482
125987,125987
125095,125095
127083,127083
126954,126954
120924,120924
126554,126554
126844,126844
126202,126202
123283,123283
126940,126940
119931,119931
125402,125402
124314,124314
127416,127416
127491,127491
124740,124740
124741,124741
127075,127075
126886,126886
125103,125103
S000_SD,S000_SD
127589,127589
124170,124170
126433,126433
127735,127735
127480,127480
Techdev_SH,Techdev_SH
127192,127192
124879,124879
127493,127493
127494,127494
127639,127639
125282,125282
127033,127033
127032,127032
127640,127640
126248,126248
127127,127127
127211,127211
128147,128147
127108,127108
128267,128267
125689,125689
128035,128035
128296,128296
128320,128320
127251,127251
127667,127667
128362,128362
124594,124594
127482,127482
123724,123724
125928,125928
125043,125043
128394,128394
127995,127995
128281,128281
125908,125908
128279,128279
128284,128284
128332,128332
126535,126535
128280,128280
125792,125792
128705,128705
128387,128387
127794,127794
127692,127692
128386,128386
113612x01,113612.01
128391,128391
128714,128714
128301,128301
128798,128798
128713,128713
128827,128827
128563,128563
126549,126549
1003598435,1003598435
1002701959,1002701959
128771,128771
128922,128922
128314,128314
128013,128013
128986,128986
129131,129131
125569,125569
125735,125735
127133,127133
121700,121700
128735,128735
128953,128953
128504,128504
128983,128983
128345,128345
128440,128440
128481,128481
114802,114802
128566,128566
128183,128183
128685,128685
